Finished,Q3,Q42,Q43,Q6,Q7,Q8,Q9,Salary Exp 1_1,Salary Exp 1_2,Salary Exp 1_3,Salary Exp 2,Salary Exp 2 depend_1,Salary Exp 2 depend_2,Salary Exp 3_1,Salary Exp 3_2,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q15,Q16,Q17,Q17_6_TEXT,Q18,Q20,Q23,definition
Finished,"CONSENTBy clicking “I agree” below, you confirm that the study was explained to you, you had a chance to ask questions before beginning the study, and all your questions were answered satisfactorily. By clicking “I agree” below, you voluntarily consent to participate, and you do not give up any legal rights you have as a study participant.
On behalf of Microsoft, we thank you for your contribution and look forward to your research session.
Do you understand and consent to these terms?","Have you ever heard of ""differential privacy""?","How would you define ""differential privacy""?",Would you be willing to share your salary with the initiative?,Why would you be willing to share your salary with the initiative?,Why would you not be willing to share your salary with the initiative?,Why are you unsure whether you would be willing to share your salary with the initiative?,"For each of the following statements, please indicate if you expect the following to be true or false if you share your salary and job title as part of this initiative. - My friend will not be able to learn my salary and job title.","For each of the following statements, please indicate if you expect the following to be true or false if you share your salary and job title as part of this initiative. - A criminal or foreign government that hacks the transparency initiative could learn my salary and job title.","For each of the following statements, please indicate if you expect the following to be true or false if you share your salary and job title as part of this initiative. - A law enforcement organization could access my salary and job title with a court order requesting this data from the initiative.",A data analyst working on the salary transparency initiative could learn my exact salary and job title.,"For each of the following statements, please indicate if you expect the following to be true or false if you share your salary and job title as part of this initiative. - A data analyst working on the salary transparency initiative would not be able to see my exact salary and job title but would be able to make an educated guess about my income range and my approximate level of experience.","For each of the following statements, please indicate if you expect the following to be true or false if you share your salary and job title as part of this initiative. - A data analyst working on the salary transparency initiative would be more likely to successfully determine my exact salary and job title if I provided my information to the initiative this app than if I did not provide my information.","For each of the following statements, please indicate if you expect the following to be true or false if you share your salary and job title as part of this initiative. - Graphs or informational charts created using information given to the salary transparency initiative could reveal my salary and job title.","For each of the following statements, please indicate if you expect the following to be true or false if you share your salary and job title as part of this initiative. - Data that the salary transparency initiative shares with other organizations doing salary research could reveal my salary and job title.","Instructions
How familiar are you with the following computer and Internet-related items? Please choose a number between 1 and 5, where 1 represents no understanding and 5 represents full understanding of the item. - Advanced Search","Instructions
How familiar are you with the following computer and Internet-related items? Please choose a number between 1 and 5, where 1 represents no understanding and 5 represents full understanding of the item. - PDF","Instructions
How familiar are you with the following computer and Internet-related items? Please choose a number between 1 and 5, where 1 represents no understanding and 5 represents full understanding of the item. - Spyware","Instructions
How familiar are you with the following computer and Internet-related items? Please choose a number between 1 and 5, where 1 represents no understanding and 5 represents full understanding of the item. - Wiki","Instructions
How familiar are you with the following computer and Internet-related items? Please choose a number between 1 and 5, where 1 represents no understanding and 5 represents full understanding of the item. - Cache","Instructions
How familiar are you with the following computer and Internet-related items? Please choose a number between 1 and 5, where 1 represents no understanding and 5 represents full understanding of the item. - Phishing",Please specify the gender with which you most closely identify.,Please enter the year you were born (four digits),Please specify your race / ethnicity (select all that apply). - Selected Choice,Please specify your race / ethnicity (select all that apply). - Other - Text,What is the highest level of school you have completed or the highest degree you have received?,Which of the following best describes your educational background or job field?,"Which one of the following includes your total HOUSEHOLD income for last year, before taxes?",definition
"{""ImportId"":""finished""}","{""ImportId"":""QID3""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_6_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""definition""}"
True,I agree,Yes,"Differential privacy is a rigorous mathematical definition of privacy. ... Such an algorithm is said to be differentially private if by looking at the output, one cannot tell whether any individual's data was included in the original dataset or not.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prefer not to answer.,5 - Full Understanding,Prefer not to answer.,Prefer not to answer.,5 - Full Understanding,Prefer not to answer.,Man,1991,White,NA,"Advanced degree (e.g., Master's, doctorate)","I have an education in, or work in, the field of computer science, computer engineering or IT.","$65,000 to under $80,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,No,NA,Yes,I don't really care if someone knows how much I make and it sounds like they are trying their best to take measures to secure data anyway,NA,NA,NA,True,True,True,NA,NA,True,True,5 - Full Understanding,5 - Full Understanding,4,5 - Full Understanding,3,4,Man,1987,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$40,000 to under $50,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,I'm not sure,NA,Yes,I don't know. I feel indifferent toward this. It seemed reasonable and rational to me.,NA,NA,NA,False,False,False,False,I don't know,False,I don't know,3,3,Prefer not to answer.,3,1 - No Understanding,1 - No Understanding,Man,1991,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$40,000 to under $50,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy protects a user’s identity and the specifics of their data, meaning individuals incur almost no risk by joining the dataset."
True,I agree,Yes,security our self,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5 - Full Understanding,3,4,3,4,Woman,1995,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$50,000 to under $65,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy ensures that the removal or addition of a single database item does not (substantially) affect the outcome of any analysis. It follows that no risk is incurred by joining the database, providing a mathematically rigorous means of coping with the fact that distributional information may be disclosive."
True,I agree,No,NA,No,NA,It would make me feel insecure about myself if I had a salary much lower than everyone else. I would not want people who make more than me to know what I make.,NA,True,False,True,True,NA,NA,True,True,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,4,4,5 - Full Understanding,Man,1975,White,NA,Associate's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000",NA
True,I agree,Yes,People's individual information is private while you'll see the trend of everyone's info.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,5 - Full Understanding,4,5 - Full Understanding,Man,1986,White,NA,Bachelor's degree,"I have an education in, or work in, the field of computer science, computer engineering or IT.","$20,000 to under $30,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential Privacy injects statistical noise into collected data in a way that protects privacy without significantly changing conclusions."
True,I agree,Yes,following different groups and what they do,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 - Full Understanding,5 - Full Understanding,4,4,5 - Full Understanding,5 - Full Understanding,Woman,1986,White,NA,Bachelor's degree,"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$20,000 to under $30,000","To reduce the intrusion into personal privacy, your friend says they will use a technique called differential privacy. Differential privacy is the gold standard in data privacy and protection and is widely recognized as the strongest guarantee of privacy available."
True,I agree,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,2,Man,1974,White,NA,High school graduate (high school diploma or equivalent including GED),"I DO NOT I have an education in, nor do I work in, the field of computer science, computer engineering or IT.","$30,000 to under $40,000",NA
